Country Name,Country Code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Early-demographic dividend,EAR,5275272850.465314,5484214837.827938,5871105353.870395,6106486413.34885,6173610847.089652,6417012541.572837,6767858579.8653,6644245585.153072,7002356963.012412,7309544771.8327875,7422669691.361599
East Asia & Pacific,EAS,10008085988.765293,10281497768.59859,11205668316.155136,11156119812.354471,12549251463.44588,13629697138.161173,13991440092.209234,14166073989.228575,14131023400.950058,14125717303.295393,13955795119.191294
Europe & Central Asia (excluding high income),ECA,2896398717.5081162,2941111746.506146,2994098612.1016335,2735409651.1090407,2934784441.082129,3078948870.808382,3119439884.7597294,3028791644.9852576,2989433741.9906044,2920996520.949404,2979371494.1747646
Europe & Central Asia,ECS,7015318795.452414,6985332290.806781,6964685570.6555195,6399238806.949292,6697917011.786537,6686151949.800855,6661329704.24506,6508718044.777944,6280567768.891112,6224889121.762148,6269012208.071623
Ecuador,ECU,28859289.99743599,31924902.004475404,33868411.994523965,36068612.00650529,36460980.99597677,36482983.00427977,32526289.99790839,41451767.995541066,46152861.99741681,43270599.99399852,41154740.99662771
"Egypt, Arab Rep.",EGY,178586567.02538776,189092521.97446346,198586385.02255163,206734459.0157766,202715427.02462575,217412762.970182,220108007.971392,214402155.98436514,227852712.02036566,224581748.03546506,238560351.96722838
Euro area,EMU,2752534540.8528185,2705219240.0324974,2641688464.8447948,2442731713.0029016,2496482599.157307,2400388864.064741,2351221727.952309,2309388592.148588,2191967585.1076946,2237357449.474726,2228500890.642391
Eritrea,ERI,550050.000403185,564717.9991667679,407037.00139858597,502378.99983688,502379.00110466004,579386.001049524,,,,,
Spain,ESP,350037151.9953015,358236563.99706095,329285599.0144284,288237201.00765157,270910625.98829633,270547593.0127012,264779401.98435315,237034880.0147859,233976601.98895755,250496436.99192157,244002180.0163201
Estonia,EST,16175137.0020286,18357002.0012852,17018546.9972973,14312301.00527955,17781283.00110525,18096644.99628047,17146891.99828784,19332424.00391983,18173651.995431248,16362154.00562739,16589508.004221601
Ethiopia,ETH,5504167.02542252,6024880.997464608,6629935.966257106,6673939.999880807,6527260.018507571,7135982.035890689,8518440.98884367,10410612.992840225,12434797.031331051,13718247.005445711,14869685.021572927
European Union,EUU,3530492258.0148783,3475446921.07534,3394285209.930044,3129531477.2187433,3217253450.9084854,3120936028.9173365,3027805230.0375147,2966298639.2108593,2821760167.14102,2867173266.7291937,2881620535.8141975
Fragile and conflict affected situations,FCS,586257294.4799201,552632507.9055986,613405114.0381901,613401413.7837293,679474771.1470666,682830796.1636603,703603368.467381,722116817.3216442,740973722.7250043,715668686.1581341,738491967.6552309
